time,MPU6050_Data.AX,MPU6050_Data.AY,MPU6050_Data.AZ,
3896.15,-0.347900390625,0.806396484375,0.83642578125,
3896.152,-0.347900390625,0.806396484375,1.04931640625,
3896.153,-0.08056640625,0.21435546875,1.04931640625,
3896.155,-0.08056640625,0.21435546875,1.04931640625,
3896.156,-0.08056640625,0.21435546875,1.04931640625,
3896.157,0.21240234375,-0.7900390625,0.533935546875,
3896.159,0.21240234375,-0.7900390625,0.533935546875,
3896.16,0.21240234375,-0.7900390625,0.533935546875,
3896.162,0.4658203125,-1.354736328125,0.33349609375,
3896.163,0.4658203125,-1.354736328125,0.33349609375,
3896.165,0.407470703125,0.37890625,1.776611328125,
3896.166,0.407470703125,0.37890625,1.776611328125,
3896.168,0.407470703125,0.37890625,1.776611328125,
3896.169,-0.35107421875,1.018310546875,1.114990234375,
3896.17,-0.35107421875,1.018310546875,1.114990234375,
3896.171,-0.35107421875,1.018310546875,1.114990234375,
3896.173,-0.35107421875,1.018310546875,1.114990234375,
3896.174,-0.24951171875,0.7109375,0.83740234375,
3896.175,-0.24951171875,0.7109375,0.83740234375,
3896.176,-0.24951171875,0.7109375,0.83740234375,
3896.177,-0.24951171875,0.7109375,0.83740234375,
3896.178,0.039794921875,-0.1201171875,0.954833984375,
3896.179,0.039794921875,-0.1201171875,0.954833984375,
3896.181,0.039794921875,-0.1201171875,0.954833984375,
3896.183,0.274169921875,-0.882080078125,0.39697265625,
3896.184,0.274169921875,-0.882080078125,0.39697265625,
3896.185,0.274169921875,-0.882080078125,0.39697265625,
3896.186,0.408935546875,-1.472900390625,0.541748046875,
3896.187,0.408935546875,-1.472900390625,0.541748046875,
3896.188,0.408935546875,-1.472900390625,0.541748046875,
3896.189,0.408935546875,-1.472900390625,0.541748046875,
3896.191,0.1494140625,0.732421875,1.99993896484375,
3896.192,0.1494140625,0.732421875,1.99993896484375,
3896.193,0.1494140625,0.732421875,1.99993896484375,
3896.195,-0.462890625,1.027099609375,0.861083984375,
3896.196,-0.462890625,1.027099609375,0.861083984375,
3896.198,-0.462890625,1.027099609375,0.861083984375,
3896.199,-0.185302734375,0.584228515625,0.901123046875,
3896.2,-0.185302734375,0.584228515625,0.901123046875,
3896.202,-0.185302734375,0.584228515625,0.901123046875,
3896.203,0.04638671875,-0.069580078125,0.97607421875,
3896.204,0.04638671875,-0.069580078125,0.97607421875,
3896.205,0.04638671875,-0.069580078125,0.97607421875,
3896.206,0.04638671875,-0.069580078125,0.97607421875,
3896.207,0.3359375,-0.979736328125,0.302001953125,
3896.208,0.3359375,-0.979736328125,0.302001953125,
3896.209,0.3359375,-0.979736328125,0.302001953125,
3896.21,0.3359375,-0.979736328125,0.302001953125,
3896.211,0.35107421875,-1.250732421875,0.84228515625,
3896.212,0.35107421875,-1.250732421875,0.84228515625,
3896.214,0.35107421875,-1.250732421875,0.84228515625,
3896.215,0.087158203125,0.82763671875,1.99993896484375,
3896.216,0.087158203125,0.82763671875,1.99993896484375,
3896.217,0.087158203125,0.82763671875,1.99993896484375,
3896.218,0.087158203125,0.82763671875,1.99993896484375,
3896.219,0.087158203125,0.82763671875,1.99993896484375,
3896.219,-0.445068359375,0.9345703125,0.77685546875,
3896.22,-0.445068359375,0.9345703125,0.77685546875,
3896.221,-0.445068359375,0.9345703125,0.77685546875,
3896.222,-0.445068359375,0.9345703125,0.77685546875,
3896.223,-0.445068359375,0.9345703125,0.77685546875,
3896.224,-0.17724609375,0.41845703125,1.0458984375,
3896.224,-0.17724609375,0.41845703125,1.0458984375,
3896.225,-0.17724609375,0.41845703125,1.0458984375,
3896.226,-0.17724609375,0.41845703125,1.0458984375,
3896.227,-0.17724609375,0.41845703125,1.0458984375,
3896.228,0.10546875,-0.48193359375,0.7392578125,
3896.23,0.10546875,-0.48193359375,0.7392578125,
3896.231,0.10546875,-0.48193359375,0.7392578125,
3896.232,0.330078125,-1.07470703125,0.271728515625,
3896.233,0.330078125,-1.07470703125,0.271728515625,
3896.234,0.330078125,-1.07470703125,0.271728515625,
3896.235,0.330078125,-1.07470703125,0.271728515625,
3896.236,0.34228515625,-0.64453125,1.20458984375,
3896.237,0.34228515625,-0.64453125,1.20458984375,
3896.238,0.34228515625,-0.64453125,1.20458984375,
3896.239,0.34228515625,-0.64453125,1.20458984375,
3896.239,0.34228515625,-0.64453125,1.20458984375,
3896.24,0.0859375,0.84033203125,1.6376953125,
3896.241,0.0859375,0.84033203125,1.6376953125,
3896.242,0.0859375,0.84033203125,1.6376953125,
3896.242,0.0859375,0.84033203125,1.6376953125,
3896.243,0.0859375,0.84033203125,1.6376953125,
3896.244,0.0859375,0.79248046875,0.828857421875,
3896.245,-0.348876953125,0.79248046875,0.828857421875,
3896.247,-0.348876953125,0.79248046875,0.828857421875,
3896.248,-0.348876953125,0.79248046875,0.828857421875,
3896.249,-0.083984375,0.1337890625,1.015380859375,
3896.25,-0.083984375,0.1337890625,1.015380859375,
3896.251,-0.083984375,0.1337890625,1.015380859375,
3896.252,-0.083984375,0.1337890625,1.015380859375,
3896.252,-0.083984375,0.1337890625,1.015380859375,
3896.253,0.105712890625,-0.67626953125,0.628662109375,
3896.254,0.105712890625,-0.67626953125,0.628662109375,
3896.255,0.105712890625,-0.67626953125,0.628662109375,
3896.255,0.105712890625,-0.67626953125,0.628662109375,
3896.256,0.105712890625,-0.67626953125,0.628662109375,
3896.257,0.347900390625,-1.2646484375,0.321044921875,
3896.258,0.347900390625,-1.2646484375,0.321044921875,
3896.259,0.347900390625,-1.2646484375,0.321044921875,
3896.26,0.347900390625,-1.2646484375,0.321044921875,
3896.261,0.32177734375,0.155517578125,1.631591796875,
3896.262,0.32177734375,0.155517578125,1.631591796875,
3896.263,0.32177734375,0.155517578125,1.631591796875,
3896.265,-0.025390625,0.93701171875,1.159423828125,
3896.266,-0.025390625,0.93701171875,1.159423828125,
3896.267,-0.025390625,0.93701171875,1.159423828125,
3896.268,-0.025390625,0.93701171875,1.159423828125,
3896.269,-0.24755859375,0.728271484375,0.7919921875,
3896.27,-0.24755859375,0.728271484375,0.7919921875,
3896.271,-0.24755859375,0.728271484375,0.7919921875,
3896.272,-0.24755859375,0.728271484375,0.7919921875,
3896.272,-0.24755859375,0.728271484375,0.7919921875,
3896.273,-0.24755859375,0.728271484375,1.005615234375,
3896.274,-0.114990234375,0.16943359375,1.005615234375,
3896.275,-0.114990234375,0.16943359375,1.005615234375,
3896.275,-0.114990234375,0.16943359375,1.005615234375,
3896.276,-0.114990234375,0.16943359375,1.005615234375,
3896.277,-0.114990234375,0.16943359375,1.005615234375,
3896.279,0.208984375,-0.815673828125,0.454345703125,
3896.28,0.208984375,-0.815673828125,0.454345703125,
3896.281,0.208984375,-0.815673828125,0.501708984375,
3896.282,0.333740234375,-1.393798828125,0.501708984375,
3896.283,0.333740234375,-1.393798828125,0.501708984375,
3896.284,0.333740234375,-1.393798828125,0.501708984375,
3896.285,0.333740234375,-1.393798828125,0.501708984375,
3896.286,0.230224609375,0.709716796875,1.99993896484375,
3896.287,0.230224609375,0.709716796875,1.99993896484375,
3896.288,0.230224609375,0.709716796875,1.99993896484375,
3896.289,0.230224609375,0.709716796875,1.99993896484375,
3896.29,-0.412841796875,0.9677734375,0.862548828125,
3896.291,-0.412841796875,0.9677734375,0.862548828125,
3896.292,-0.412841796875,0.9677734375,0.862548828125,
3896.293,-0.412841796875,0.9677734375,0.862548828125,
3896.294,-0.135498046875,0.614501953125,0.873779296875,
3896.296,-0.135498046875,0.614501953125,0.873779296875,
3896.297,-0.135498046875,0.614501953125,0.873779296875,
3896.298,0.027099609375,-0.01318359375,1.007568359375,
3896.299,0.027099609375,-0.01318359375,1.007568359375,
3896.3,0.027099609375,-0.01318359375,1.007568359375,
3896.301,0.027099609375,-0.01318359375,1.007568359375,
3896.302,0.295166015625,-0.9326171875,0.310546875,
3896.303,0.295166015625,-0.9326171875,0.310546875,
3896.304,0.295166015625,-0.9326171875,0.310546875,
3896.305,0.295166015625,-0.9326171875,0.310546875,
3896.306,0.295166015625,-0.9326171875,0.310546875,
3896.307,0.315673828125,-1.294677734375,0.7392578125,
3896.308,0.315673828125,-1.294677734375,0.7392578125,
3896.309,0.315673828125,-1.294677734375,0.7392578125,
3896.31,0.315673828125,-1.294677734375,0.7392578125,
3896.311,0.162109375,0.838134765625,1.99993896484375,
3896.312,0.162109375,0.838134765625,1.99993896484375,
3896.313,0.162109375,0.838134765625,1.99993896484375,
3896.314,0.162109375,0.838134765625,1.99993896484375,
3896.315,-0.37255859375,0.954345703125,0.74169921875,
3896.316,-0.37255859375,0.954345703125,0.74169921875,
3896.317,-0.37255859375,0.954345703125,0.74169921875,
3896.318,-0.37255859375,0.954345703125,0.74169921875,
3896.319,-0.201416015625,0.578369140625,1.03125,
3896.32,-0.201416015625,0.578369140625,1.03125,
3896.321,-0.201416015625,0.578369140625,1.03125,
3896.322,-0.201416015625,0.578369140625,1.03125,
3896.323,0.049560546875,-0.236328125,0.9169921875,
3896.324,0.049560546875,-0.236328125,0.9169921875,
3896.325,0.049560546875,-0.236328125,0.9169921875,
3896.326,0.049560546875,-0.236328125,0.9169921875,
3896.327,0.049560546875,-0.236328125,0.9169921875,
3896.328,0.362060546875,-1.081298828125,0.277099609375,
3896.329,0.362060546875,-1.081298828125,0.277099609375,
3896.33,0.362060546875,-1.081298828125,0.277099609375,
3896.332,0.373046875,-0.8828125,1.012451171875,
3896.333,0.373046875,-0.8828125,1.012451171875,
3896.334,0.373046875,-0.8828125,1.012451171875,
3896.335,0.373046875,-0.8828125,1.012451171875,
